cai_type,cai_subtype,name,address,city,state,zip,island,county,latitude,longitude
Head Start,,Puohala El.,45-233 Kulauli St,Kaneohe,HI,96744,Oahu,Honolulu,21.4098,-157.7908
Head Start,,Puuhale El.,345 Puuhale Rd,Honolulu,HI,96819,Oahu,Honolulu,21.3281,-157.8845
Head Start,,Queen Kaahumanu El.,1141 Kinau St,Honolulu,HI,96814,Oahu,Honolulu,21.3028,-157.8438
Head Start,,Salt Lake El.,1131 Ala Lilikoi St,Honolulu,HI,96818,Oahu,Honolulu,21.351,-157.9123
Head Start,,Ulu Ke Kukui,87-576 Kulaaupuni St,Waianae,HI,96792,Oahu,Honolulu,21.4165,-158.1733
Head Start,,Wahiawa El.,1402 Glen Ave,Wahiawa,HI,96786,Oahu,Honolulu,21.5043,-158.0177
Head Start,,Wahiawa UMC,1445 California Ave,Wahiawa,HI,96786,Oahu,Honolulu,21.5024,-158.0145
Head Start,,Waianae El.,85-220 McArthur St,Waianae,HI,96792,Oahu,Honolulu,21.4462,-158.1845
Early Head Start,,EHS East I,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4616421,-158.0640649
Early Head Start,,Hale Hiipoi,4111 Hana Highway,Hana,HI,96713,Maui,Maui,20.7769,-155.9996
Early Head Start,,Easter Seals,49 Kaiulani St,Hilo,HI,96720,Hawaii,Hawaii,19.7241,-155.0925
Early Head Start,,Greenwell Child Development Center,81-6493 Mamalahoa Highway,Kealakekua,HI,96750,Hawaii,Hawaii,19.5063,-155.9211
Early Head Start,,Hilo EHS Home Base,27 Waianuenue Ave,Hilo,HI,96720,Hawaii,Hawaii,19.7261,-155.0871
Early Head Start,,Ka'u Cluster,95-1163 Kaalaiki Rd. #120,Naalehu,HI,96772,Hawaii,Hawaii,19.086,-155.5717
Early Head Start,,Kona Clusters,75-127 Lunapule Rd Ste 11,Kailua Kona,HI,96740,Hawaii,Hawaii,19.6265,-155.9863
Early Head Start,,Early Head Start Home Base,2970 Kele St Ste 203,Lihue,HI,96766,Kauai,Kauai,21.9749,-159.3692
Early Head Start,,EHS IT at Kauai,3343 Kanakolu St,Lihue,HI,96766,Kauai,Kauai,21.9848,-159.371
Head Start,,Lihue Head Start,3343 Kanakolu St,Lihue,HI,96766,Kauai,Kauai,21.9848,-159.371
Early Head Start,,MFSS EHS Kupukupu Child Development Program-Lahaina,15 Ipu Aumakua Ln,Lahaina,HI,96761,Maui,Maui,20.8692,-156.6673
Early Head Start,,MFSS EHS Main Office & Kupukupu Child Development Center-Wailuku,1844 Wili Pa Loop,Wailuku,HI,96793,Maui,Maui,20.8935,-156.5006
Early Head Start,,Waiale Site,670 Waiale Rd Bldg 8,Wailuku,HI,96793,Maui,Maui,20.875,-156.4988
Head Start,,Haiku Head Start,97 Pauwela Road,Haiku,HI,96708,Maui,Maui,20.9295,-156.3217
Early Head Start,,Waimea Cluster,67-1185 Mamalahoa Hwy Unit H147,Kamuela,HI,96743,Hawaii,Hawaii,20.0203,-155.667
Head Start,,Kahului A and B,615 S Papa Ave,Kahului,HI,96732,Maui,Maui,20.8738,-156.4804
Head Start,,Hilo Child Development Center (HCDC),2133 Waianuenue Ave,Hilo,HI,96720,Hawaii,Hawaii,19.7145,-155.1384
Head Start,,Kalanianaole Elementary,27-330 Old Mamalahoa Hwy,Papaikou,HI,96781,Hawaii,Hawaii,19.8256,-155.0961
Head Start,,Head Start Home Base,2970 Kele St Ste 203,Lihue,HI,96766,Kauai,Kauai,21.9739,-159.3688
Head Start,,Kihei,250 E Lipoa St,Kihei,HI,96753,Maui,Maui,20.7469,-156.4475
Head Start,,Lahaina,816 Niheu St,Lahaina,HI,96761,Maui,Maui,20.8862,-156.6639
Head Start,,Kaunakakai,380 Kolapa Place,Kaunakakai,HI,96748,Molokai,Maui,21.0903,-157.0159
Head Start,,Keauhou,78-6804 Mamalahoa Hwy,Holualoa,HI,96725,Hawaii,Hawaii,19.5772,-155.9437
Head Start,,Keonepoko Pre-Plus Elementary,15-890 Kahakai Blvd,Pahoa,HI,96778,Hawaii,Hawaii,19.5258,-154.9267
Head Start,,Kapaa Head Start,4886 Kawaihau Rd,Kapaa,HI,96746,Kauai,Kauai,22.0895,-159.3139
Head Start,,Kekaha Head Start,8563 Elepaio Rd,Kekaha,HI,96752,Kauai,Kauai,21.9633,-159.7068
Head Start,,Koloa Head Start,3223 Poipu Rd,Koloa,HI,96756,Kauai,Kauai,21.8786,-159.4607
Head Start,,Makawao A and B,931B Makawao Ave,Makawao,HI,96768,Maui,Maui,20.8515,-156.3175
Head Start,,UHMC,310 W Kaahumanu Ave,Wailuku,HI,96793,Maui,Maui,20.8913,-156.481
Head Start,,Mt. View PrePlus Elementary,18-1235 Volcano Hwy,Mountain View,HI,96771,Hawaii,Hawaii,19.5575,-155.1056
Head Start,,Puueo,145 Wainaku St,Hilo,HI,96720,Hawaii,Hawaii,19.7336,-155.0933
Head Start,,Waiau El.,98-450 Hookanike St,Pearl City,HI,96782,Oahu,Honolulu,21.3984,-157.9537
Head Start,,Waimalu,98-825 Moanalua Rd # P8,Aiea,HI,96701,Oahu,Honolulu,21.3901,-157.9505
Head Start,,Waimanalo El.,41-1350 Kalanianaole Hwy,Waimanalo,HI,96795,Oahu,Honolulu,21.3335,-157.6981
Head Start,,Waipahu El.,94-465 Waipahu St,Waipahu,HI,96797,Oahu,Honolulu,21.3856,-158.0159
Head Start and Early Head Start,,Kahauiki Village,2325 N Nimitz Highway,Honolulu,HI,96819,Oahu,Honolulu,21.3303,-157.8875
Head Start and Early Head Start,,HCAP Head Start & Early Head Start,94-810 Moloalo St Suite 200,Waipahu,HI,96797,Oahu,Honolulu,21.38438626,-158.0044032
Head Start and Early Head Start,,Kuhio Park Terrace (EHS and HS),1485 Linapuni St Rm 105,Honolulu,HI,96819,Oahu,Honolulu,21.3381,-157.8769
Head Start and Early Head Start,,Hawaiian Beaches,15-360 Puni Makai Loop N,Pahoa,HI,96778,Hawaii,Hawaii,19.5493,-154.9022
Head Start,,Wailuku A,670 Waiale Rd,Wailuku,HI,96793,Maui,Maui,20.875,-156.4988
Head Start,,Wailuku B,355 S High St,Wailuku,HI,96793,Maui,Maui,20.8826,-156.5052
Higher Education,University,Brigham Young University Hawaii,55-220 Kulanui St,Laie,HI,96762,Oahu,Honolulu,21.64191475,-157.9267453
Higher Education,University,Chaminade University of Honolulu,3140 Waialae Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.29011032,-157.8077474
Higher Education,University,Hawaii Pacific University - Downtown,1 Aloha Tower Dr,Honolulu,HI,96813,Oahu,Honolulu,21.30657502,-157.865593
Higher Education,University,Hawaii Pacific University - Hawaii Loa,45-045 Kamehameha Highway,Kaneohe,HI,96744,Oahu,Honolulu,21.37903486,-157.7818304
Higher Education,University,Hawaii Pacific University - Makapuu,41-202 Kalanianaole Highway,Waimanalo,HI,96795,Oahu,Honolulu,21.31497163,-157.6647274
Higher Education,Community College,Hawaii Community College,1175 Manono Street,Hilo,HI,96720,Hawaii,Hawaii,19.70476935,-155.0696711
Higher Education,University Center,Hawaii Community College - Palamanui,73-4225 Ane Keohokalole Highway,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.73967284,-156.0129202
Higher Education,Community College,Honolulu Community College,874 Dillingham Blvd,Honolulu,HI,96817,Oahu,Honolulu,21.32069309,-157.8697352
