cai_type,cai_subtype,name,address,city,state,zip,island,county,latitude,longitude
Private School,Presbyterian,Trinity Christian School,875 Auloa Road,Kailua,HI,96734,Oahu,Honolulu,21.374981,-157.76435
Private School,Lutheran,Trinity Lutheran School,1611 California Avenue,Wahiawa,HI,96786,Oahu,Honolulu,21.501623,-158.01
Private School,Independent,Variety School of Hawaii,710 Palekaua Street,Honolulu,HI,96816,Oahu,Honolulu,21.263079,-157.79541
Private School,Church of the Nazarene,Waolani Judd Nazarene School,408 North Judd Street,Honolulu,HI,96817,Oahu,Honolulu,21.325308,-157.85225
Private School,Christian,"Asia Pacific International School, Hawaii Campus",54-230 Kamehameha Hwy.,Hauula,HI,96717,Oahu,Honolulu,21.615523,-157.91615
Private School,Independent,Assets School,One Ohana Nui Way,Honolulu,HI,96818,Oahu,Honolulu,21.340707,-157.93399
Private School,Christian,Calvary Chapel Christian School,98-1016 Komo Mai Dr.,Aiea,HI,96701,Oahu,Honolulu,21.399494,-157.94821
Private School,Congregational,Central Union Church Preschool & Kindergarten,1660 South Beretania Street,Honolulu,HI,96826,Oahu,Honolulu,21.298923,-157.83416
Private School,Roman Catholic,Chaminade University,3140 Waialae Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.2908,-157.80584
Private School,,Chaminade University Montessori Laboratory School,3140 Waialae Ave.,Honolulu,HI,96816,Oahu,Honolulu,21.2908,-157.80584
Private School,Assembly of God,Christian Academy,3400 Moanalua Road,Honolulu,HI,96819,Oahu,Honolulu,21.365564,-157.90185
Private School,Lutheran,Cross Academy,98-1098 Moanalua Road,Aiea,HI,96701,Oahu,Honolulu,21.382901,-157.93691
Private School,Roman Catholic,Damien Memorial School,1401 Houghtailing Street,Honolulu,HI,96817,Oahu,Honolulu,21.330335,-157.86733
Private School,Baptist,Friendship Christian Schools,91-1130 Renton Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.337695,-158.03949
Private School,,Hale Keiki School,153 Bougainville Drive,Honolulu,HI,96818,Oahu,Honolulu,21.3562607,-157.93019
Private School,Independent,Hanahau'oli School,1922 Makiki Street,Honolulu,HI,96822,Oahu,Honolulu,21.30738,-157.83195
Private School,Episcopal,St. Andrew's Schools - The Priory,224 Queen Emma Square,Honolulu,HI,96813,Oahu,Honolulu,21.309885,-157.85742
Private School,Christian,Christian Liberty Academy,16-675 Milo Street,Keaau,HI,96749,Hawaii,Hawaii,19.62786,-155.02938
Private School,Congregational,Haili Christian School,190 Ululani Street,Hilo,HI,96720,Hawaii,Hawaii,19.7221682,-155.08852
Private School,Nondenominational,A Kula Hawaii,4551 Kapuna Rd.,Kilauea,HI,96754,Kauai,Kauai,22.18895,-159.36206
Private School,Independent,Aka'ula School,1000 Kalae Hwy.,Kualapuu,HI,96757,Molokai,Maui,21.157752,-157.02256
Private School,Independent,Carden Academy of Maui,55 Maka'ena Place,Pukalani,HI,96768,Maui,Maui,20.826955,-156.33081
Private School,Nondenominational,Doris Todd Christian Academy,519 Baldwin Avenue,Paia,HI,96779,Maui,Maui,20.90726,-156.35957
Private School,Lutheran,Emmanuel Lutheran School,520 One St.,Kahului,HI,96732,Maui,Maui,20.888366,-156.48185
Private School,Independent,Haleakala Waldorf School,4160 Lower Kula Road,Kula,HI,96790,Maui,Maui,20.765805,-156.32717
Private School,Roman Catholic,St. Anthony School,1618 Lower Main Street,Wailuku,HI,96793,Maui,Maui,20.892532,-156.4961
Private School,Independent,Hawaii Preparatory Academy,65-1692 Kohala Mountain Road,Kamuela,HI,96743,Hawaii,Hawaii,20.029886,-155.69729
Private School,Protestant,Kamehameha Schools Hawai'i,16-716 Volcano Road,Keaau,HI,96749,Hawaii,Hawaii,19.6173343,-155.04404
Private School,Seventh-day Adventist,Kohala Adventist School,55-3361 Akoni Pule Highway,Hawi,HI,96719,Hawaii,Hawaii,20.2386029,-155.83519
Private School,Independent,Kokua Academy,75-1048 Henry St.,Kailua Kona,HI,96740,Hawaii,Hawaii,19.648583,-155.98754
Private School,Seventh-day Adventist,Kona Adventist Christian School,82-1013 Kinue Road,Captain Cook,HI,96704,Hawaii,Hawaii,19.490825,-155.91034
Private School,Nondenominational,Kuleana Education Academy,74-4820 Mamalahoa Highway,Holualoa,HI,96725,Hawaii,Hawaii,19.68696,-155.97498
Private School,Christian,Makua Lani Christian Academy,74-4966 Kealakaa St.,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.67766,-155.98808
Private School,Independent,Malamalama Waldorf School,15-1834 Makuu Drive,Keaau,HI,96749,Hawaii,Hawaii,19.5575059,-154.96873
Private School,Independent,Island School,3-1875 Kaumualii Highway,Lihue,HI,96766,Kauai,Kauai,21.9668169,-159.3963
Private School,Seventh-day Adventist,Kahili Adventist School,4-1132 Kuhio Hwy,Kapaa,HI,96746,Kauai,Kauai,22.069729,-159.31904
Private School,Christian,Kauai Christian Academy,4000 Kilauea Rd.,Kilauea,HI,96754,Kauai,Kauai,22.216462,-159.40505
Private School,Seventh-day Adventist,Hawaiian Mission Academy Maui,261 S. Puunene Avenue,Kahului,HI,96732,Maui,Maui,20.884761,-156.46382
Private School,Independent,"Horizons Academy of Maui, Inc.",2680 Wai Wai Place,Kihei,HI,96753,Maui,Maui,20.744497,-156.44905
Private School,Assembly of God,Ka'ahumanu Hou Christian School,777 Maui Veterans Hwy.,Kahului,HI,96732,Maui,Maui,20.876045,-156.45915
Private School,Protestant,Kamehameha Schools Maui,270 'A'apueo Parkway,Pukalani,HI,96768,Maui,Maui,20.8231505,-156.33524
Private School,Independent,Ke Kula 'o Pi'ilani,875 ?Iao Valley Rd,Wailuku,HI,96793,Maui,Maui,20.8836919,-156.53602
Private School,Seventh-day Adventist,Mauna Loa School,172 Kapiolani Street,Hilo,HI,96720,Hawaii,Hawaii,19.719568,-155.08886
Private School,Independent,Parker School,65-1224 Lindsey Road,Kamuela,HI,96743,Hawaii,Hawaii,20.022261,-155.66986
Private School,Roman Catholic,St. Joseph School,1000 Ululani Street,Hilo,HI,96720,Hawaii,Hawaii,19.714212,-155.08438
Private School,Independent,Waimea Country School,65-1237 Kawaihae Rd.,Kamuela,HI,96743,Hawaii,Hawaii,20.021509,-155.67146
Private School,Roman Catholic,St. Catherine School,5021 Kawaihau Road,Kapaa,HI,96746,Kauai,Kauai,22.090692,-159.31753
Private School,Roman Catholic,St. Theresa School,8311 Kaumualii Highway,Kekaha,HI,96752,Kauai,Kauai,21.9645539,-159.71112
Private School,Independent,Maui Preparatory Academy,4910 Honoapiilani Highway,Lahaina,HI,96761,Maui,Maui,20.983314,-156.66446
Private School,Independent,Montessori School of Maui,2933 Baldwin Avenue,Makawao,HI,96768,Maui,Maui,20.869007,-156.32035
Private School,Independent,Roots School,740 Haiku Road,Haiku,HI,96708,Maui,Maui,20.915577,-156.32324
Private School,Roman Catholic,Sacred Hearts School,550 Office Road,Lahaina,Hi,96761,Maui,Maui,20.9995099,-156.65493
Private School,Episcopal,Seabury Hall,480 Olinda Road,Makawao,HI,96768,Maui,Maui,20.842142,-156.30966
Private School,Church of the Nazarene,Windward Nazarene Academy,45-232 Puaae Road,Kaneohe,HI,96744,Oahu,Honolulu,21.403844,-157.78955
Private School,Seventh-day Adventist,Adventist Malama Elementary School,86-072 Farrington Hwy.,Waianae,HI,96792,Oahu,Honolulu,21.438112,-158.1848
Public Housing,State,Kalakaua Homes,1545 Kalakaua Avenue,Honolulu,HI,96826,Oahu,Honolulu,21.295585,-157.83796
Public Housing,State,Kalanihuia,1220 Aala Street,Honolulu,HI,96817,Oahu,Honolulu,21.315993,-157.86271
Public Housing,State,Kalihi Valley Homes,2250 Kalena Drive,Honolulu,HI,96819,Oahu,Honolulu,21.348223,-157.86601
Public Housing,State,Kamalu,94-941 Kauolu Place,Waipahu,HI,96797,Oahu,Honolulu,21.386905,-158.00242
Public Housing,State,Kamehameha Homes,1541 Haka Drive,Honolulu,HI,96817,Oahu,Honolulu,21.329391,-157.87456
Public Housing,State,Kaneohe Apartments,45-507 & 45-513 Pahia Road,Kaneohe,HI,96744,Oahu,Honolulu,21.416778,-157.80206
Public Housing,State,Kau'iokalani,85-658 Farrington Highway,Waianae,HI,96792,Oahu,Honolulu,21.45181,-158.1903
Public Housing,State,Kauhale Nani,310 North Cane Street,Wahiawa,HI,96786,Oahu,Honolulu,21.50104598,-158.0254664
Public Housing,State,Kauhale O'hana,41-1260 Kalanianaole Hwy,Waimanalo,HI,96795,Oahu,Honolulu,21.344164,-157.715
Public Housing,State,Koolau Village,45-1027 Kamau Place,Kaneohe,HI,96744,Oahu,Honolulu,21.412639,-157.80814
Public Housing,State,Kuhio Homes,Ahonui Street,Honolulu,HI,96819,Oahu,Honolulu,21.3392705,-157.87613
Public Housing,State,Kuhio Park Terrace Low-Rise,1441 Ahonui Street,Honolulu,HI,96819,Oahu,Honolulu,21.339317,-157.87708
Public Housing,State,Kupuna Home O'Waialua,67-088 Goodale Avenue,Waialua,HI,96791,Oahu,Honolulu,21.576285,-158.12414
Public Housing,State,La'iola,15 Ihoiho Place,Wahiawa,HI,96786,Oahu,Honolulu,21.496809,-158.02054
Public Housing,State,Maili I,Maliona Street,Maili,HI,96792,Oahu,Honolulu,21.4206005,-158.17326
Public Housing,State,Maili II,Keliikipi Street,Maili,HI,96792,Oahu,Honolulu,21.422145,-158.17671
Public Housing,State,Makamae,21 S. Kuakini Street,Honolulu,HI,96813,Oahu,Honolulu,21.318427,-157.85314
Public Housing,State,Palolo Valley Homes,2108 Ahe Street,Honolulu,HI,96816,Oahu,Honolulu,21.300911,-157.79441
Public Housing,State,Paoakalani,1583 Kalakaua Avenue,Honolulu,HI,96826,Oahu,Honolulu,21.295585,-157.83796
Public Housing,State,Puahala Homes I,Ahiahi Place & Hala Drive,Honolulu,HI,96817,Oahu,Honolulu,21.3279411,-157.86199
Public Housing,State,Puahala Homes II,Ahiahi Place,Honolulu,HI,96817,Oahu,Honolulu,21.3279411,-157.86199
Public Housing,State,Puahala Homes III,Ahiahi Place,Honolulu,HI,96817,Oahu,Honolulu,21.3279411,-157.86199
Public Housing,State,Puahala Homes IV,School St & Lanakila Ave,Honolulu,HI,96817,Oahu,Honolulu,21.32672,-157.86291
Public Housing,State,Pumehana,1212 Kinau Street,Honolulu,HI,96814,Oahu,Honolulu,21.302504,-157.84229
Public Housing,State,Punchbowl Homes,730 Captain Cook Avenue,Honolulu,HI,96813,Oahu,Honolulu,21.307019,-157.84992
Public Housing,State,Puuwai Momi,99-132 Kohomua Street,Aiea,HI,96701,Oahu,Honolulu,21.368291,-157.93443
Public Housing,State,Salt Lake,2907 Ala Ilima Street,Honolulu,HI,96818,Oahu,Honolulu,21.344734,-157.90296
Public Housing,State,Spencer House,1035 Spencer Street,Honolulu,HI,96822,Oahu,Honolulu,21.307472,-157.8444
Public Housing,State,Wahiawa Terrace,300 Palm Street,Wahiawa,HI,96786,Oahu,Honolulu,21.500655,-158.02702
Public Housing,State,Waimaha-Sunflower,85-186 McArthur Street,Waianae,HI,96792,Oahu,Honolulu,21.444868,-158.18566
Public Housing,State,Waimanalo Homes,Humuniki St & Humuna Pl,Waimanalo,HI,96795,Oahu,Honolulu,21.34595,-157.72588
Public Housing,State,Waimanalo Homes II,Humuniki St & Humuna Pl,Waimanalo,HI,96795,Oahu,Honolulu,21.34595,-157.72588
Public Housing,State,Waipahu I,94-111 Pupuole Street,Waipahu,HI,96797,Oahu,Honolulu,21.3771045,-158.01874
Public Housing,State,Waipahu II,94-132 Pupupuhi Street,Waipahu,HI,96797,Oahu,Honolulu,21.380833,-158.01553
Public Housing,State,Hale Laulima,1184 Waimano Home Rd,Pearl City,HI,96782,Oahu,Honolulu,21.398221,-157.96994
Public Housing,State,Hale Po'ai,1001 N. School Street,Honolulu,HI,96817,Oahu,Honolulu,21.327219,-157.86361
Public Housing,State,Halia Hale,1645 Old Palama Street,Honolulu,HI,96817,Oahu,Honolulu,21.325736,-157.8628
Public Housing,State,Hauiki Homes,1574 Meyers Street,Honolulu,HI,96819,Oahu,Honolulu,21.3436489,-157.87834
Public Housing,State,Ho'olulu,94-943 Kauolu Place,Waipahu,HI,96797,Oahu,Honolulu,21.3872453,-158.00292
Public Housing,State,Hookipa Kahaluu,47-330 Ahuimanu Road,Kaneohe,HI,96744,Oahu,Honolulu,21.447959,-157.83342
Public Housing,State,Kaahumanu Homes,Alokele & Kaiwiula Street,Honolulu,HI,96817,Oahu,Honolulu,21.32807,-157.87433
Public Housing,State,Hale Aloha O Puna,16-189 Pili Mua Street,Keaau,HI,96749,Hawaii,Hawaii,19.62235,-155.03922
Public Housing,State,Hale Hauoli,45-540 Koniaka Place,Honokaa,HI,96727,Hawaii,Hawaii,20.0780233,-155.46726
Public Housing,State,Hale Hookipa,81-1038 Nani Kupuna Place,Kealakekua,HI,96750,Hawaii,Hawaii,19.516646,-155.91777
Public Housing,State,Hale Olaloa,144 Kamana Street,Hilo,HI,96720,Hawaii,Hawaii,19.709018,-155.0805
Public Housing,State,Ka Hale Kahaluu,78-6725 Makolea Street,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.5788348,-155.96559
Public Housing,State,Eleele Homes,340 Ahe Street,Eleele,HI,96705,Kauai,Kauai,21.9076571,-159.57969
Public Housing,State,Hale Hoolulu,4264 Ala Muku Place,Kilauea,HI,96754,Kauai,Kauai,22.210614,-159.4063
Public Housing,State,Hale Hoonanea,4401 Waialo Road,Eleele,HI,96705,Kauai,Kauai,21.902708,-159.58641
Public Housing,State,Hale Nana Kai O Kea,4850 Kawaihau Road,Kapaa,HI,96746,Kauai,Kauai,22.086504,-159.31068
Public Housing,State,Home Nani,9791 Laau Road,Waimea,HI,96796,Kauai,Kauai,21.95511,-159.66922
Public Housing,State,Hui O Hanamaulu,4711 Laukona Street,Lihue,HI,96766,Kauai,Kauai,21.9966175,-159.36316
Public Housing,State,David Malo Circle,Mill Street,Lahaina,HI,96761,Maui,Maui,20.865224,-156.66865
Public Housing,State,Kaimalino,74-5060 Kealakaa Street,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.671901,-155.98387
Public Housing,State,Kauhale O'Hanakahi,19 Pamala Street,Hilo,HI,96720,Hawaii,Hawaii,19.6952,-155.07354
Public Housing,State,Ke Kumu Ekolu,68-3385 Ke Kumu Place,Waikoloa,HI,96738,Hawaii,Hawaii,19.951869,-155.79213
Public Housing,State,Ke Kumu Elua,68-3367 Ke Kumu Place,Waikoloa,HI,96738,Hawaii,Hawaii,19.951086,-155.79092
Public Housing,State,Kealakehe,74-991 Manawalea Street,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.675874,-155.98612
Public Housing,State,Lanakila Homes I,60 Holomalia Street,Hilo,HI,96720,Hawaii,Hawaii,19.711453,-155.0845
Public Housing,State,Lanakila Homes II,60 Holomalia Street,Hilo,HI,96720,Hawaii,Hawaii,19.711453,-155.0845
Public Housing,State,Lanakila Homes III,60 Holomalia Street,Hilo,HI,96720,Hawaii,Hawaii,19.711453,-155.0845
Public Housing,State,Lanakila Homes IV,60 Holomalia Street,Hilo,HI,96720,Hawaii,Hawaii,19.711453,-155.0845
Public Housing,State,Lokahi,Lokahi Circle,Hilo,HI,96720,Hawaii,Hawaii,19.6961812,-155.07171
Public Housing,State,Kalaheo,2625 Puu Road,Kalaheo,HI,96741,Kauai,Kauai,21.9111631,-159.53553
Public Housing,State,Kapaa,4726 Malu Road,Kapaa,HI,96746,Kauai,Kauai,22.079032,-159.32354
Public Housing,State,Kawailehua-Federal,5230 Paanau Road,Koloa,HI,96756,Kauai,Kauai,21.896976,-159.46776
Public Housing,State,Kawailehua-State,5220 Paanau Road,Koloa,HI,96756,Kauai,Kauai,21.896316,-159.46846
Public Housing,State,Kekaha Ha'aheo,8238 Iwipolena Road,Kekaha,HI,96752,Kauai,Kauai,21.969033,-159.71551
Public Housing,State,Kahale Mua-Federal,119 Maunaloa Road,Maunaloa,HI,96770,Molokai,Maui,21.13283,-157.21427
Public Housing,State,Kahale Mua-State,100 Maunaloa Road,Maunaloa,HI,96770,Molokai,Maui,21.13283,-157.21427
Public Housing,State,Kahekili Terrace,2015 Holowai Place,Wailuku,HI,96793,Maui,Maui,20.890157,-156.50422
Public Housing,State,Makua Alii,1541 Kalakaua Avenue,Honolulu,HI,96826,Oahu,Honolulu,21.295585,-157.83796
Public Housing,State,Mayor Wright Homes,521 N. Kukui Street,Honolulu,HI,96817,Oahu,Honolulu,21.319921,-157.86421
Public Housing,State,Nanakuli Homes,Lualei Pl & Farrington Hwy,Nanakuli,HI,96792,Oahu,Honolulu,21.39563,-158.16136
Public Housing,State,Nani Olu,81-1011 Nani Kupuna Place,Kealakekua,HI,96750,Hawaii,Hawaii,19.51689,-155.91951
Public Housing,State,Noelani I,65-1189 Opelo Road,Kamuela,HI,96743,Hawaii,Hawaii,20.020682,-155.67725
Public Housing,State,Noelani II,65-1191 Opelo Road,Kamuela,HI,96743,Hawaii,Hawaii,20.020682,-155.67725
Public Housing,State,Pahala,96-1169 Kou Street,Pahala,HI,96777,Hawaii,Hawaii,19.72877,-155.08831
Public Housing,State,Pomaikai Homes,929 Ululani Street,Hilo,HI,96720,Hawaii,Hawaii,19.715609,-155.08423
Public Housing,State,Punahele Homes,Lokahi Place,Hilo,HI,96720,Hawaii,Hawaii,19.6966326,-155.07311
Public Housing,State,Makani Kai Hale,35 Koapaka Lane,Wailuku,HI,96793,Maui,Maui,20.904082,-156.49731
Public Housing,State,Makani Kai Hale II,35 Koapaka Lane,Wailuku,HI,96793,Maui,Maui,20.904082,-156.49731
Public Housing,State,Piilani Homes,1028 Wainee Street,Lahaina,HI,96761,Maui,Maui,20.880475,-156.68045
Public Housing,County,Ainakea Elderly Apartments,53-3996 Ainakea Dr,Kapaau,HI,96755,Hawaii,Hawaii,20.23074729,-155.795994
Public Housing,County,Hale Kikaha,74-5595 Pawai Place,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.64459247,-155.9991732
Public Housing,County,Kihei Pua Emergency Shelter,115 Kapiolani St,Hilo,HI,96720,Hawaii,Hawaii,19.72176649,-155.0889533
Public Library,,Lahaina Public Library,680 Wharf St,Lahaina,HI,96761,Maui,Maui,20.87278031,-156.6783005
Public Library,,Aiea Public Library,99-374 Pohai Pl,Aiea,HI,96701,Oahu,Honolulu,21.38103205,-157.9274629
Public Library,,Hanapepe Public Library,4490 Kona Rd P.O. Box B,Hanapepe,HI,96716,Kauai,Kauai,21.90894883,-159.5875903
Public Library,,Kapaa Public Library,4-1464 Kuhio Hwy,Kapaa,HI,96746,Kauai,Kauai,22.07749227,-159.315834
Public Library,,Lihue Public Library,4344 Hardy St,Lihue,HI,96766,Kauai,Kauai,21.97660296,-159.3646638
Public Library,,Princeville Public Library,4343 Emmalani Dr,Princeville,HI,96722,Kauai,Kauai,22.21407627,-159.4720373
Public Library,,Koloa Public and School Library,3451 Poipu Rd P.O. Box 9,Koloa,HI,96756,Kauai,Kauai,21.898561,-159.4667652
Public Library,,Hana Public and School Library,4111 Hana Hwy P.O. Box 490,Hana,HI,96713,Maui,Maui,20.77840921,-155.99797
Public Library,,Kahului Public Library,90 School St,Kahului,HI,96732,Maui,Maui,20.88750253,-156.47034
Public Library,,Kihei Public Library,35 Waimahaihai St,Kihei,HI,96753,Maui,Maui,20.73455124,-156.4543802
Public Library,,Makawao Public Library,1159 Makawao Ave,Makawao,HI,96768,Maui,Maui,20.85358722,-156.3110361
Public Library,,Lanai Public and School Library,555 Fraser Ave P.O. Box 630550,Lanai City,HI,96763,Lanai,Maui,20.82621969,-156.9221101
Public Library,,Molokai Public Library,15 Ala Malama Ave P.O. Box 395,Kaunakakai,HI,96748,Molokai,Maui,21.09007816,-157.0225121
Public Library,,Aina Haina Public Library,5246 Kalanianaole Hwy,Honolulu,HI,96821,Oahu,Honolulu,21.27854764,-157.7532034
Public Library,,Ewa Beach Public and School Library,91-950 North Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.31469681,-158.0085355
Public Library,,Hawaii Kai Public Library,249 Lunalilo Home Rd,Honolulu,HI,96825,Oahu,Honolulu,21.27712612,-157.7036425
Public Library,,Hawaii State Library,478 S. King St,Honolulu,HI,96813,Oahu,Honolulu,21.30570728,-157.8577865
Public Library,,Kaimuki Public Library,1041 Koko Head Ave,Honolulu,HI,96816,Oahu,Honolulu,21.27990579,-157.7984587
Public Library,,Kalihi-Palama Public Library,1325 Kalihi St,Honolulu,HI,96819,Oahu,Honolulu,21.33318154,-157.8723002
Public Library,,Library for the Blindnd Print Disabled,402 Kapahulu Ave,Honolulu,HI,96815,Oahu,Honolulu,21.27486142,-157.8168983
Public Library,,Liliha Public Library,1515 Liliha St,Honolulu,HI,96817,Oahu,Honolulu,21.3207767,-157.8604298
Public Library,,Honokaa Public Library,45-3380 Mamane St Bldg 3,Honokaa,HI,96727,Hawaii,Hawaii,20.07691773,-155.462331
Public Library,,Hilo Public Library,300 Waianuenue Ave,Hilo,HI,96720,Hawaii,Hawaii,19.7246894,-155.0909919
Public Library,,Keaau Public and School Library,16-571 Keaau-Pahoa Rd,Keaau,HI,96749,Hawaii,Hawaii,19.62211714,-155.0377033
Public Library,,Pahoa Public and School Library,15-3070 Pahoa-Kalapana Rd,Pahoa,HI,96778,Hawaii,Hawaii,19.49038497,-154.9417322
Public Library,,Kealakekua Public Library,81-6619 Mamalahoa Hwy P.O. Box 768,Kealakekua,HI,96750,Hawaii,Hawaii,19.51539356,-155.9208287
Public Library,,Mountain View Public and School Library,18-1235 Volcano Hwy P.O. Box 380,Mountain View,HI,96771,Hawaii,Hawaii,19.5544098,-155.1028055
Public Library,,Naalehu Public Library,95-5669 Mamalahoa Hwy P.O. Box 653,Naalehu,HI,96772,Hawaii,Hawaii,19.05969072,-155.587367
Public Library,,North Kohala Public Library,54-3645 Akoni Pule Hwy P.O. Box 248,Kapaau,HI,96755,Hawaii,Hawaii,20.23776431,-155.8148686
Public Library,,Pahala Public and School Library,96-3150 Pikake St P.O. Box 400,Pahala,HI,96777,Hawaii,Hawaii,19.20315888,-155.4784782
Public Library,,Kailua-Kona Public Library,75-138 Hualalai Rd,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.63767977,-155.9913658
Public Library,,Laupahoehoe Public and School Library,35-2065 Old Mamalahoa Hwy P.O. Box 249,Laupahoehoe,HI,96764,Hawaii,Hawaii,19.97972717,-155.2275156
Public Library,,Thelma Parker Memorial Public and School Library,67-1209 Mamalahoa Hwy P.O. Box 698,Kamuela,HI,96743,Hawaii,Hawaii,20.01919481,-155.6691658
Public Library,,Manoa Public Library,2716 Woodlawn Dr,Honolulu,HI,96822,Oahu,Honolulu,21.30713832,-157.8106576
Public Library,,McCully-Moiliili Public Library,2211 S King St,Honolulu,HI,96826,Oahu,Honolulu,21.2937878,-157.8276863
Public Library,,Salt Lake-Moanalua Public Library,3225 Salt Lake Blvd,Honolulu,HI,96818,Oahu,Honolulu,21.34332597,-157.9128097
Public Library,,Kahuku Public and School Library,56-490 Kamehameha Hwy,Kahuku,HI,96731,Oahu,Honolulu,21.67544622,-157.947833
Public Library,,Kailua Public Library,239 Kuulei Rd,Kailua,HI,96734,Oahu,Honolulu,21.39611153,-157.7403392
Public Library,,Kaneohe Public Library,45-829 Kamehameha Hwy,Kaneohe,HI,96744,Oahu,Honolulu,21.41268085,-157.7992741
Public Library,,Kapolei Public Library,1020 Manawai St,Kapolei,HI,96707,Oahu,Honolulu,21.33401363,-158.0794247
Public Library,,Mililani Public Library,95-450 Makaimoimo St,Mililani,HI,96789,Oahu,Honolulu,21.45216517,-158.0085136
Public Library,,Nanakuli Public Library,89-070 Farrington Highway,Waianae,HI,96792,Oahu,Honolulu,21.3826389,-158.1462885
Public Library,,Pearl City Public Library,1138 Waimano Home Rd,Pearl City,HI,96782,Oahu,Honolulu,21.3971742,-157.9693263
Public Library,,Wahiawa Public Library,820 California Ave,Wahiawa,HI,96786,Oahu,Honolulu,21.49758792,-158.0265367
Public Library,,Waikiki-Kapahulu Public Library,400 Kapahulu Ave,Honolulu,HI,96815,Oahu,Honolulu,21.27426348,-157.8166017
Public Library,,Waianae Public Library,85-625 Farrington Hwy,Waianae,HI,96792,Oahu,Honolulu,21.45037625,-158.1921721
Public Library,,Waialua Public Library,67-068 Kealohanui St,Waialua,HI,96791,Oahu,Honolulu,21.57382462,-158.1226068
Public Library,,Waimanalo Public and School Library,41-1320 Kalanianaole Hwy,Waimanalo,HI,96795,Oahu,Honolulu,21.34616884,-157.7148953
Public Library,,Waipahu Public Library,94-275 Mokuola St,Waipahu,HI,96797,Oahu,Honolulu,21.38573442,-158.0028648
Public Library,,Waimea Public Library,9750 Kaumualii Hwy P.O. Box 397,Waimea,HI,96796,Kauai,Kauai,21.95569879,-159.6697938
Public Library,,Wailuku Public Library,251 S. High St,Wailuku,HI,96793,Maui,Maui,20.88513854,-156.5048456
Public Safety,Police Station,KAUAI COUNTY POLICE DEPARTMENT,3990 KAANA ST #200,Lihue,HI,96766,Kauai,Kauai,21.97701812,-159.3549834
Public Safety,Police Station,HANALEI POLICE SUBSTATION,5-4290 KUHIO HWY,Princeville,HI,96722,Kauai,Kauai,22.21233422,-159.4789606
Public Safety,Police Station,WAIMEA POLICE SUBSTATION,9565 Kaumualii Hwy,Waimea,HI,96796,Kauai,Kauai,21.95669618,-159.6671439
Public Safety,Police Station,KAPAA POLICE SUBSTATION,4670 KAHAU ST,Kapaa,HI,96746,Kauai,Kauai,22.07769237,-159.3195757
Public Safety,Police Station,KOLOA POLICE SUBSTATION,3461B WELIWELI RD,Koloa,HI,96756,Kauai,Kauai,21.90342388,-159.4642791
Public Safety,Police Station,Hilo Station,349 Kapiolani Street,Hilo,HI,96720,Hawaii,Hawaii,19.71488198,-155.0852222
Public Safety,Police Station,Laupahoehoe Station,Puualaea Homestaed Road,Laupahoehoe,HI,96764,Hawaii,Hawaii,19.98298625,-155.2327105
Public Safety,Police Station,Honokaa Station,45-3362 Mamane Street,Honokaa,HI,96727,Hawaii,Hawaii,20.07714763,-155.4625116
Public Safety,Police Station,Waimea Station,67-5185 Kamamalu Street,Waimea,HI,96743,Hawaii,Hawaii,20.02384712,-155.6616559
Public Safety,Police Station,Kalahuipuaa Substation,68-5660 Queen Kaahumanu Highway,Kalahuipuaa,HI,96743,Hawaii,Hawaii,19.94670743,-155.8338708
Public Safety,Police Station,Kapaau Station,54-3900 Akoni Pule Highway,Kapaau,HI,96755,Hawaii,Hawaii,20.22990897,-155.7982703
Public Safety,Police Station,Kona Station,74-611 Hale Makai Place,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.66371666,-156.0069609
Public Safety,Police Station,Captain Cook Substation,82-6130 Mamalahoa Highway,Captain Cook,HI,96704,Hawaii,Hawaii,19.48893231,-155.9094408
Public Safety,Police Station,Ocean View Substation,92-1329 Prince Kuhio Boulevard,Ocean View,HI,96704,Hawaii,Hawaii,19.0843543,-155.7761324
Public Safety,Police Station,Naalehu Station,95-5353 Mamalahoa Highway,Naalehu,HI,96772,Hawaii,Hawaii,19.0679839,-155.5670025
Public Safety,Police Station,Pahoa Station,15-2615 Keaau Pahoa Road,Pahoa,HI,96778,Hawaii,Hawaii,19.50874107,-154.9579515
Public Safety,Police Station,Keaau Substation,16-0579 Old Volcano Road,Keaau,HI,96749,Hawaii,Hawaii,19.62095671,-155.040155
Public Safety,Police Station,Clem Akina Park Mini Police Station,145 Wainaku Street,Hilo,HI,96720,Hawaii,Hawaii,19.72886325,-155.0920525
Public Safety,Police Station,Mooheau Mini Police Station,329 Kamehameha Avenue,Hilo,HI,96720,Hawaii,Hawaii,19.72402838,-155.0845876
Public Safety,Police Station,Richardson Mini Police Station,2355 Kalanianaiole Street,Hilo,HI,96720,Hawaii,Hawaii,19.73537911,-155.0133523
